Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
016380,KR7016380008,KG스틸,KOSPI,,8170,2,-110,-1.33,8210,8250,8150,71071,581510100,817072688490,100008897,STK
348210,KR7348210006,넥스틴,KOSDAQ GLOBAL,우량기업부,79200,2,-3200,-3.88,80200,81200,78600,41635,3309783700,807592737600,10196878,KSQ
008730,KR7008730004,율촌화학,KOSPI,,32550,2,-650,-1.96,33200,33200,32500,18100,591088550,807240000000,24800000,STK
003030,KR7003030004,세아제강지주,KOSPI,,194700,1,1600,0.83,193100,196400,192700,1455,282789300,806380617900,4141657,STK
272450,KR7272450008,진에어,KOSPI,,15390,1,280,1.85,15200,15460,15130,65936,1010444550,803358000000,52200000,STK
192080,KR7192080000,더블유게임즈,KOSPI,,44100,2,-100,-0.23,44150,44500,43800,5819,256787550,802212383700,18190757,STK
060280,KR7060280005,큐렉소,KOSDAQ,중견기업부,19580,1,420,2.19,19210,20200,18870,1928274,37751649390,801918284200,40955990,KSQ
294090,KR7294090006,이오플로우,KOSDAQ,기술성장기업부,26350,2,-150,-0.57,26650,26650,25500,55798,1458796800,801479702450,30416687,KSQ
066575,KR7066571001,LG전자우,KOSPI,,46500,2,-850,-1.8,47050,47250,46250,4638,215924750,799148628000,17185992,STK
023590,KR7023590003,다우기술,KOSPI,,17810,2,-180,-1.0,17850,17990,17450,35213,627537830,799074448770,44866617,STK
085660,KR7085660009,차바이오텍,KOSDAQ,벤처기업부,14200,1,260,1.87,14470,14470,14090,270346,3870576770,799010115600,56268318,KSQ
161000,KR7161000005,애경케미칼,KOSPI,,16420,2,-190,-1.14,16590,16640,16240,116518,1914138070,798811801780,48648709,STK
272290,KR7272290008,이녹스첨단소재,KOSDAQ GLOBAL,우량기업부,39300,1,100,0.26,39000,39400,38900,44005,1724099700,793925159400,20201658,KSQ
025980,KR7025980004,아난티,KOSDAQ,우량기업부,8970,1,350,4.06,8480,9030,8470,5664489,49925240060,786036812340,87629522,KSQ
002350,KR7002350007,넥센타이어,KOSPI,,7970,2,-70,-0.87,7980,8020,7920,13216,105313710,778412979690,97667877,STK
087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,37600,2,-1100,-2.84,38100,38950,36500,370908,13909952950,775569672800,20626853,KSQ
007700,KR7007700008,F&F홀딩스,KOSPI,,19820,1,1210,6.5,18610,19900,18540,61678,1196839740,775246753940,39114367,STK
002840,KR7002840007,미원상사,KOSPI,,157000,2,-5100,-3.15,161400,161500,155400,1372,219187700,761450000000,4850000,STK
025900,KR7025900002,동화기업,KOSDAQ,우량기업부,37500,2,-450,-1.19,37900,38100,37450,6041,227752850,758077312500,20215395,KSQ
006120,KR7006120000,SK디스커버리,KOSPI,,39200,2,-400,-1.01,39900,40000,39200,18748,740604500,746283916000,19037855,STK
348950,KR7348950007,제이알글로벌리츠,KOSPI,,3770,2,-30,-0.79,3795,3795,3765,58622,221102055,744107520000,197376000,STK
222080,KR7222080004,씨아이에스,KOSDAQ,중견기업부,11000,2,-290,-2.57,11290,11290,10980,170400,1884116700,739463527000,67223957,KSQ
082740,KR7082740002,HSD엔진,KOSPI,,10280,2,-770,-6.97,10680,10690,10220,532790,5562200390,735472258320,71543994,STK
950210,KR8702070002,프레스티지바이오파마,KOSPI,,12100,2,-580,-4.57,12680,12700,12020,102597,1254099810,727163475500,60096155,STK
058610,KR7058610007,에스피지,KOSDAQ,우량기업부,32700,1,350,1.08,32600,32950,32150,241281,7874049950,725199672000,22177360,KSQ
950160,KR8840120008,코오롱티슈진,KOSDAQ,관리종목(소속부없음),9790,1,190,1.98,9740,9830,9630,31594,308019450,711786796050,72705495,KSQ
003540,KR7003540002,대신증권,KOSPI,,14010,1,20,0.14,14000,14040,13980,24287,340175770,711335334000,50773400,STK
084370,KR7084370006,유진테크,KOSDAQ GLOBAL,우량기업부,30450,2,-300,-0.98,30550,30750,30200,50631,1538250550,697793478900,22916042,KSQ
074600,KR7074600008,원익QnC,KOSDAQ GLOBAL,우량기업부,26500,2,-350,-1.3,26850,26950,26100,112420,2987682550,696632000000,26288000,KSQ
228760,KR7228760005,지노믹트리,KOSDAQ,기술성장기업부,29800,1,3300,12.45,27350,30950,27100,2923961,85101167500,690633118400,23175608,KSQ
005250,KR7005250006,녹십자홀딩스,KOSPI,,14510,2,-220,-1.49,14720,14760,14500,13197,192342740,682379327100,47028210,STK
003240,KR7003240009,태광산업,KOSPI,,612000,2,-8000,-1.29,620000,620000,611000,109,66989000,681400800000,1113400,STK
004490,KR7004490009,세방전지,KOSPI,,48500,1,200,0.41,48300,49000,48000,18731,912245000,679000000000,14000000,STK
064960,KR7064960008,SNT모티브,KOSPI,,46350,2,-1000,-2.11,47350,47350,46350,4423,206397700,677782353600,14623136,STK
294870,KR7294870001,HDC현대산업개발,KOSPI,,10190,2,-120,-1.16,10290,10300,10180,33557,342944410,671595692700,65907330,STK
268280,KR7268280005,미원에스씨,KOSPI,,134100,2,-2400,-1.76,136500,136500,134100,446,60781300,670500000000,5000000,STK
018250,KR7018250001,애경산업,KOSPI,,25300,1,850,3.48,24950,25550,24750,145601,3671229350,668171355500,26409935,STK
046890,KR7046890000,서울반도체,KOSDAQ GLOBAL,우량기업부,11440,2,-60,-0.52,11460,11460,11320,67265,765933390,667013776000,58305400,KSQ
095500,KR7095500005,미래나노텍,KOSDAQ,우량기업부,21500,2,-500,-2.27,21600,22050,21450,121137,2622223650,666714978500,31009999,KSQ
