no,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,apartment_name,full_address_road,building_name,road_name,main_building_no,sub_building_no,postcode,latitude,longitude
791,2020-3055(1),아파트,2021-03-08,100,배당종결,0,613,613,738,121,5,26.95,8.15,84.6,25.59,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/3055/04024_AUTO_434.jpg,서울 노원구 상계동 1282,1135010500,1135064000,서울,노원구,상계동,1282,,204동,22,2202,상계2차중앙하이츠아파트,서울 노원구 노원로 428,상계2차중앙하이츠아파트,노원로,428,,01703,37.654962108265,127.068308213284
792,2020-3239(1),아파트,2021-03-08,100,배당종결,0,491,491,623,127,9,55.95,16.92,84.78,25.65,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/3239/02579_AUTO_443.jpg,서울 노원구 중계동 578,1135010600,1135061900,서울,노원구,중계동,578,,115동,8,811,현대그룹중계동주택조합2차아파트,서울 노원구 중계로8길 103,현대그룹중계동주택조합2차(아),중계로8길,103,,01727,37.6478441137209,127.084646922951
793,2020-102723(1),아파트,2021-03-08,100,배당종결,0,383,383,487,127,6,34.66,10.48,84.98,25.71,http://img1.speedauction.co.kr/new_gamimg/2020/A05/2020/102723/200055.jpg,서울 도봉구 방학동 508,1132010600,1132071000,서울,도봉구,방학동,508,,102동,1,103,우성2차아파트,서울 도봉구 해등로 305,우성2차아파트,해등로,305,,01373,37.6569741255456,127.021688802247
794,2020-104743(1),아파트,2021-03-08,100,배당종결,0,810,810,1,135,6,46.69,14.12,84.95,25.7,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/104743/06087_AUTO_1595.jpg,서울 노원구 하계동 270,1135010400,1135061200,서울,노원구,하계동,270,,102동,15,1503,현대아파트,서울 노원구 섬밭로 232,"현대아파트,우성아파트",섬밭로,232,,01780,37.636849832574,127.066382239396
795,2019-9829(1),아파트,2021-03-03,80,배당종결,1,320,256,305,95,5,7.7909,2.36,35.55,10.75,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2019/9829/29914_AUTO_237.jpg,서울 중구 충무로5가 36-2,1114013300,1114059000,서울,중구,충무로5가,36,2,,6,609,,서울 중구 퇴계로49길 14,충무로엘크루메트로시티2,퇴계로49길,14,,04559,37.5633835164692,127.000001584595
796,2020-2121(1),아파트,2021-03-03,100,배당종결,0,1,1,1,102,3,58.38,17.66,134.25,40.61,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/2121/62586.jpg,서울 동작구 대방동 501,1159010800,1159066000,서울,동작구,대방동,501,,110동,11,1105,대림아파트,서울 동작구 여의대방로 250,대림아파트(상가동),여의대방로,250,,06943,37.5072946636747,126.924711747263
797,2020-103871(1),아파트,2021-03-03,100,배당종결,0,1,1,1,115,2,31.805,9.62,59.888,18.12,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/103871/62128.jpg,서울 강남구 개포동 1280,1168010300,1168067000,서울,강남구,개포동,1280,,201동,6,611,,서울 강남구 선릉로 8,래미안블레스티지,선릉로,8,,06326,37.4811712758974,127.064886971612
798,2020-1852(1),아파트,2021-03-02,100,배당종결,0,830,830,1,122,7,43.87,13.27,114.69,34.69,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/1852/25281_AUTO_373.jpg,서울 관악구 봉천동 1703,1162010100,1162056500,서울,관악구,봉천동,1703,,103동,21,2101,성현동아아파트,서울 관악구 관악로 285,성현동아아파트,관악로,285,,08726,37.4895920965132,126.955554597324
799,2019-3661(1),아파트,2021-02-25,64,배당종결,2,1,1,1,84,18,158.61,47.98,239.484,72.44,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/3661/42134_AUTO_833.jpg,서울 종로구 평창동 108,1111018300,1111056000,서울,종로구,평창동,108,,101동,8,801,,서울 종로구 평창문화로 156,평창동 롯데캐슬 로잔,평창문화로,156,,03010,37.6099791717614,126.977399664316
800,2020-2295(1),아파트,2021-02-24,100,배당종결,0,442,442,545,123,9,41.61,12.59,82.17,24.86,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/2295/94831.jpg,서울 구로구 구로동 314,1153010200,1153055000,서울,구로구,구로동,314,,1동,11,1105,극동아파트,서울 구로구 구로중앙로7길 28,극동아파트,구로중앙로7길,28,,08312,37.4910702074775,126.889773719203
801,2020-101680(1),아파트,2021-02-24,80,배당종결,1,479,383,505,106,15,13.82,4.18,83.7,25.32,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/101680/108835.jpg,서울 강서구 화곡동 981-1,1150010300,1150059100,서울,강서구,화곡동,981,1,,12,1206,,서울 강서구 화곡로 292,서광프리메라,화곡로,292,,07663,37.5503031171874,126.848769072181
802,2020-51722(1),아파트,2021-02-23,80,배당종결,1,330,264,430,130,11,36.2,10.95,82.27,24.89,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2020/51722/91598.jpg,서울 은평구 녹번동 71-8,1138010200,1138051000,서울,은평구,녹번동,71,8,1동,6,603,청솔아파트,서울 은평구 통일로 586-26,청솔아파트,통일로,586,26,03374,37.5993451491204,126.938302534055
803,2020-5232(1),아파트,2021-02-23,100,배당종결,0,589,589,689,117,6,28.84,8.72,84.95,25.7,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/5232/54048.jpg,서울 강서구 방화동 863,1150010900,1150063000,서울,강서구,방화동,863,,201동,3,304,마곡현대아파트,서울 강서구 양천로 140,마곡현대아파트,양천로,140,,07593,37.5730328214364,126.819061027502
804,2019-9676(1),아파트,2021-02-18,100,배당종결,0,1,1,1,122,6,47.5251,14.38,84.9827,25.71,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/9676/58639.jpg,서울 동작구 사당동 1157,1159010700,1159064000,서울,동작구,사당동,1157,,106동,7,704,이수역리가아파트,서울 동작구 사당로27길 130,이수역리가아파트,사당로27길,130,,07000,37.4894898027989,126.973853272882
805,2019-9676(2),아파트,2021-02-18,100,배당종결,0,1,1,1,113,9,47.5251,14.38,84.9827,25.71,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/9676/58657.jpg,서울 동작구 사당동 1157,1159010700,1159064000,서울,동작구,사당동,1157,,107동,11,1101,이수역리가아파트,서울 동작구 사당로27길 130,이수역리가아파트,사당로27길,130,,07000,37.4894898027989,126.973853272882
806,2019-105826(1),아파트,2021-02-18,100,배당종결,0,292,292,363,124,1,5.26,1.59,64.26,19.44,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/105826/60625.jpg,서울 중구 인현동2가 192-30,1114013400,1114059000,서울,중구,인현동2가,192,30,,10,1010,,서울 중구 마른내로 72,인현상가/신성아파트,마른내로,72,,04558,37.5637577158708,126.99580566902
807,2020-2790(1),아파트,2021-02-17,80,배당종결,1,182,145,199,109,5,23.88,7.22,58.32,17.64,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/2790/116418.jpg,서울 양천구 신월동 48-13,1147010300,1147058000,서울,양천구,신월동,48,13,,4,404,신라이프아파트,서울 양천구 가로공원로 83,신라이프아파트,가로공원로,83,,07909,37.5356749582905,126.825209812254
808,2020-6556(1),아파트,2021-02-17,100,배당종결,0,624,624,675,108,3,48.487,14.67,113.338,34.28,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/6556/44643.jpg,서울 강서구 방화동 871,1150010900,1150064000,서울,강서구,방화동,871,,102동,2,202,방신서광아파트,서울 강서구 양천로14길 17,마곡서광2차아파트,양천로14길,17,,07603,37.5720215579008,126.81068023575
809,2020-108209(1),아파트,2021-02-17,100,배당종결,0,300,300,300,100,1,24.398,7.38,57.32,17.34,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/108209/45655.jpg,서울 양천구 신월동 529-2,1147010300,1147059000,서울,양천구,신월동,529,2,,4,402,세제뉴타운아파트,서울 양천구 신월로15길 15,세제뉴타운아파트,신월로15길,15,,08031,37.5198125734033,126.841295520898
810,2020-52671(1),아파트,2021-02-16,100,배당종결,0,1,1,1,111,3,28.4187,8.6,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2021/A03/2020/52671/22980.jpg,서울 용산구 이촌동 415,1117012900,1117063000,서울,용산구,이촌동,415,,106동,2,202,한강대우아파트,서울 용산구 이촌로 181,한강대우아파트,이촌로,181,,04421,37.5222169556785,126.969475303103
811,2020-731(1),아파트,2021-02-16,100,배당종결,0,631,631,790,125,5,80.849,24.46,84.42,25.54,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2020/731/17346.jpg,서울 은평구 진관동 12,1138011400,1138069000,서울,은평구,진관동,12,,712동,1,101,,서울 은평구 진관4로 48-17,은평뉴타운상림마을,진관4로,48,17,03303,37.644833690056,126.927730495248
812,2019-4103(1),아파트,2021-02-16,80,배당종결,1,330,264,335,102,4,59.792,18.09,90.17,27.28,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2019/4103/467879.jpg,서울 양천구 신월동 142-14,1147010300,1147058000,서울,양천구,신월동,142,14,105동,1,103,금하뜨라네아파트,서울 양천구 가로공원로56길 10,금하뜨라네아파트,가로공원로56길,10,,07913,37.5341201228579,126.823828482294
813,2020-1292(1),아파트,2021-02-16,100,배당종결,0,670,670,839,125,17,25.79,7.8,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/1292/22605.jpg,서울 영등포구 양평동5가 76,1156012900,1156062000,서울,영등포구,양평동5가,76,,106동,3,301,양평동한신아파트,서울 영등포구 양평로24길 9,양평동한신아파트,양평로24길,9,,07204,37.5401145097335,126.892103512609
814,2020-107664(1),아파트,2021-02-16,100,배당종결,0,72,72,73,101,2,4.0784,1.23,9.9483,3.01,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/107664/32150.jpg,서울 구로구 고척동 320,1153010600,1153072000,서울,구로구,고척동,320,,104동,11,1103,센츄리아파트,서울 구로구 중앙로12길 12,센츄리아파트,중앙로12길,12,,08218,37.5044524027282,126.86230162527
815,2020-883(1),아파트,2021-02-15,100,배당종결,0,705,705,843,120,13,34.182,10.34,84.58,25.59,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/883/63290.jpg,서울 송파구 가락동 198-13,1171010700,1171063200,서울,송파구,가락동,198,13,102동,7,701,,서울 송파구 동남로14길 23,가락현대트웰브,동남로14길,23,,05785,37.4920849217354,127.131859520732
816,2020-102617(1),아파트,2021-02-15,100,배당종결,0,273,273,451,166,33,25.85,7.82,36.34,10.99,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/102617/78532.jpg,서울 도봉구 창동 38,1132010700,1132051400,서울,도봉구,창동,38,,1709동,9,906,주공아파트,서울 도봉구 덕릉로66길 17,주공17단지아파트,덕릉로66길,17,,01489,37.6442064819292,127.05338274179
817,2020-103733(1),아파트,2021-02-15,100,배당종결,0,275,275,388,141,19,25.499,7.71,49.77,15.06,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/103733/78700.jpg,서울 도봉구 도봉동 641,1132010800,1132052200,서울,도봉구,도봉동,641,,114동,14,1410,서원아파트,서울 도봉구 마들로 684-19,서원아파트,마들로,684,19,01324,37.6741332478974,127.04829873867
818,2019-2029(1),아파트,2021-02-08,100,배당종결,0,1,1,1,105,2,154.474,46.73,226.75,68.59,http://img1.speedauction.co.kr/new_gamimg/2021/A02/2019/2029/5783.jpg,서울 광진구 광장동 135-1,1121510400,1121581000,서울,광진구,광장동,135,1,에이동,4,402,,서울 광진구 아차산로78가길 17,현대리버빌,아차산로78가길,17,,04969,37.5488120247719,127.109471015722
819,2019-54181(1),아파트,2021-02-08,64,배당종결,2,2,1,2,94,30,45.831,13.86,364.04,110.12,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2019/54181/266579.jpg,서울 송파구 신천동 7-19,1171010200,1171071000,서울,송파구,신천동,7,19,,26,2604,,서울 송파구 올림픽로 289,잠실시그마타워,올림픽로,289,,05510,37.5146223066094,127.102520455295
820,2020-753(1),아파트,2021-02-08,80,배당종결,1,4,3,4,91,9,40.9626,12.39,218.58,66.12,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/753/44425_AUTO_689.jpg,서울 성동구 성수동1가 685-696,1120011400,1120065000,서울,성동구,성수동1가,685,696,101동,19,1902,,서울 성동구 서울숲2길 32-14,갤러리아 포레,서울숲2길,32,14,04769,37.5457843454815,127.042476851287
821,2018-9593(1),아파트,2021-02-08,80,배당종결,1,255,204,481,189,46,38.47,11.64,45.9,13.88,http://img1.speedauction.co.kr/new_gamimg/2019/A05/2018/9593/50872_AUTO_44.jpg,서울 노원구 상계동 633,1135010500,1135071000,서울,노원구,상계동,633,,1423동,2,201,상계주공아파트,서울 노원구 수락산로 174,상계주공14단지아파트,수락산로,174,,01670,37.6702868060388,127.059848850911
